"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","15669.6160398263","18427.6115299095","22134.0172712515","24837.9509579621","25357.7869437251","26329.3131412118","26401.968740042","26663.2077602359","27272.3100411519","26705.1809964158","26087.7758122111","27190.5011823334","27151.9241038764","26954.4045087697","28417.3842120132","26966.0547913068","25508.3025249991","25469.2874132699","27005.5295318108","26979.8853627251","27046.7604168734","27428.1202017663","27367.2809956235","24464.174515202","23512.6025956397","24231.338896093","23777.3160505999","24629.0799831602","24692.4971839859","24452.606574011","24288.9870951854","24508.8091382819","",
"Afghanistan","AFG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","339.633338545264","352.243953013023","341.612456349531","365.54873357194","372.896734656069","412.919584995684","418.478815782955","495.108928498185","550.514973976336","536.012485738268","584.907375729425","597.52522367843","594.574109725141","585.708288402396","583.055107445951","583.869634468199","",
"Angola","AGO","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2969.96037634911","2742.65626908153","2646.01255480688","2660.14496546948","2724.88899632259","2732.0768758651","2730.99300549566","2767.17998670446","2861.3555400182","2786.7259738233","2614.49250390456","2560.06303053766","2333.47654950556","1716.2104308705","1684.21525457825","1878.79326578951","2073.21495929023","2164.08163813131","2204.90986284958","2190.08727432847","2189.56075278223","2208.79153600302","2426.43178348175","2412.39252143346","2582.64647618106","2866.43469368999","3085.42483250404","3394.51233451448","3641.44750233665","3544.02655167285","3585.90555256868","3580.26990983252","3750.20909664115","3799.42961666813","3846.24091075103","3751.69446496907","3533.86516015036","3413.65643792257","",
"Albania","ALB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2037.12265690908","2111.45010313022","2128.25386913991","2106.61373756418","2036.93754711735","2031.01830136765","2104.43261699367","2046.57131837887","1979.80147204283","2116.8753489447","1880.04133961703","1331.75977954904","1243.3906105403","1371.09660087204","1494.04115196592","1703.23715591804","1869.81682332839","1676.08283992159","1835.59672181564","2085.37114722307","2244.56483625821","2453.55746392687","2572.65220137171","2725.09674471869","2887.29129104856","3062.59250441631","3263.81240015098","3485.22762820259","3775.47970880563","3928.3421433855","4094.36020359235","4210.07700502783","4276.91764306365","4327.60823177573","4413.33512231953","4524.46750792429","4683.51921650756","4867.63246464765","",
"Andorra","AND","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","42137.5189947395","41883.1412123491","43051.2231750558","44201.7280770732","44648.3822216412","43158.00760544","43079.8158044325","42958.8938568115","42339.3340715661","41041.8667765521","40495.698015877","38896.6259416659","37756.4209028065","36776.5149572427","35820.9317453704","35095.9925402225","34744.3924512446","35204.9894579815","35546.6495470777","35831.6208246802","35780.5196725988","35291.7114092924","34278.6471002551","32766.0596707401","32633.8251274783","32917.6488213571","34175.2600684125","37293.2824132908","38595.7232096964","40035.4824490851","40801.5421300322","41420.8461776969","42396.3023980284","45519.4923839434","47032.8668884706","48831.9293599384","49708.4004893013","48710.6646202996","43900.9517028654","41979.8659013974","39736.3540626699","38205.7710887919","38190.5865853723","39104.301849019","40785.0492283396","41765.9203531235","42958.558392534","43942.9381865109","",
"Argentina","ARG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","5605.19172213837","5815.2335573695","5675.06004288477","5290.76622217599","5738.59769021983","6251.32182035585","6120.71218384643","6226.99775509462","6434.95377674533","6954.7641154732","7056.84806385351","7335.75913605167","7329.92115775342","7407.36675350676","7685.85721205637","7559.143749205","7291.84042863614","7681.01757078944","7227.56412439979","7849.36333967784","7849.11597143824","7327.70561773232","7160.74968877115","7355.29250312078","7354.42989728448","6865.45035537428","7177.2656231925","7260.98743371098","7075.90167931739","6474.18017765258","6224.51001850446","6698.0090410389","7130.56952961671","7612.68115329614","7952.71155173317","7630.02227409899","7955.12765176278","8500.94036184635","8728.94765116614","8339.89438868086","8182.68650230868","7735.49336439011","6816.73485537778","7337.79203783303","7913.74312362482","8522.52273238782","9112.11316338653","9830.68091982204","10125.1262721185","9428.50254117176","10276.2604977053","10780.0156577357","10557.8853892544","10699.1977159711","10323.20693976","10498.5925297592","10206.2495504416","10397.1365197387","",
"Armenia","ARM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1796.93643165951","1601.59382254967","949.033221278771","886.032785925223","956.470885506277","1043.54314093392","1121.88162869349","1172.1368024271","1267.57528264648","1317.74192343814","1404.32146204631","1548.0758512453","1761.88827204793","2019.98486736482","2244.22017070239","2571.98575552046","2933.83347842552","3366.16218732912","3629.15770214106","3136.81172720558","3218.38165488465","3371.6728305502","3606.48055353557","3710.57574254995","3827.3431953792","3935.28877224353","3932.55461723546","4219.36854928985","",
"American Samoa","ASM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10613.9115418862","10630.4536535068","10661.173537835","10644.5810685804","10282.4565949728","10619.6136467331","10500.3858391248","10199.0601502139","10352.8227618312","10442.7264995652","10000.3110739949","9711.11271653165","9779.88348722076","9884.11186605049","9614.47267179797","9090.37143164562","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","4429.54234592621","4595.40363926681","4952.92067193012","5363.42304503753","5596.68641648605","5639.6855740028","6009.30288696957","6705.7023859888","7315.81665773454","8272.02442481651","8945.48366872403","9522.29447986088","10087.2651353974","10380.307904219","10509.9921417742","10457.7141826114","10772.0220508829","11205.8225618134","10440.7071269663","10834.6288894659","11117.0950770148","11335.1289020069","11470.9868447477","11981.9163767916","11191.1025151037","11147.2635034762","11683.4624615323","12218.7447951879","12857.1642874629","14325.4811288949","15466.9529285692","15278.8742180501","13270.6971099644","12174.6978007682","11789.7990522696","12069.8114740696","11928.227286146","12351.1612171777","12713.6318870365","13286.0097661806","13548.1575013727","",
"Australia","AUS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","19387.3187582716","19477.7725011501","19254.5809385738","20062.6364197497","21045.6826927307","21872.0821641959","21887.6974836513","22975.294665984","23723.8455547122","24868.9917242753","26132.6728227063","26275.6310115508","26806.4175590011","27089.7541589905","27496.2612824876","27526.5558435113","27957.2030726518","28638.4431046687","28561.1916189271","29396.6719188593","29921.6676954456","30433.6217543393","30926.4554909011","29864.0346130283","30880.5249132912","32060.123834024","32817.8914273353","33132.2962715614","34446.3107322237","35178.0752218558","35896.8001527147","35304.8161534604","35033.3993460957","36093.5762995543","37134.4127461237","38093.4590737583","39054.4732355152","40151.8270685825","41554.1149362241","43143.582764184","44313.3182274174","44564.9765593132","45786.6428104711","46575.4153320454","47880.6116576619","48760.3551692531","49408.0527406883","50955.05594824","51770.9071530236","51689.9135558502","51936.8887116461","52475.6632455215","53553.2339429699","54008.7081938685","54546.2030621219","55017.2480239931","55731.4955736202","55925.9318168028","",
